,,,,,,,, Command,,,,Non command,,,,Poor command,,,,,,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,,,,,
1,GNT_C_54_Amarthaluru,soft rock,6,10,,,124.32,124.31987,0.00013,0.00013,124.32,0,0,0,0,87.8599999987,0,0,87.86,,,GNT_C_54_Amarthaluru,GNT_C_54_AMARTHALURU,GNT_C_54_Amarthaluru
2,GNT_C_54_Bapatla,soft rock,6,10,,,44.64,44.64,0,0,44.64,0,0,0,0,34.3499999991,0,0,34.35,,,GNT_C_54_Bapatla,GNT_C_54_BAPATLA,GNT_C_54_Bapatla
3,GNT_C_54_Bhattiprollu,soft rock,16,22,,,112.76,112.76,0,0,112.76,0,0,0,0,0,0,0,0,,,GNT_C_54_Bhattiprollu,GNT_C_54_BHATTIPROLU,GNT_C_54_Bhattiprollu
4,GNT-C-54-Cherukupalli,soft rock,6,10,,,98.97,98.969,0.001,0.001,98.97,0,0,0.001,0,0,0,0,0,,,GNT-C-54-Cherukupalli,GNT_C_54_CHERUKUPALI,GNT-C-54-Cherukupalli
5,GNT-C-54-Duggirala,soft rock,6,16,,,133.63,133.63,0,0,133.63,0,0,0,0,0,0,0,0,,,GNT-C-54-Duggirala,GNT_C_54_DUGGIRALA,GNT-C-54-Duggirala
6,GNT-C-54-Karlapalem,soft rock,1,16,,,100.7,100.69995,0.00005,0.00005,100.7,0,0,0.00005,0,71.4199999995,0,0,71.42,,,GNT-C-54-Karlapalem,GNT_C_54_KARLAPALEM ,GNT-C-54-Karlapalem
7,GNT-C-54-Kollipara,soft rock,6,16,,,119.75,119.75,0,0,119.75,0,0,0,0,0,0,0,0,,,GNT-C-54-Kollipara,GNT_C_54_KOLLIPARA,GNT-C-54-Kollipara
8,GNT-C-54-Kolluru,soft rock,2,24,,,108.44,108.44,0,0,108.44,0,0,0,0,0,0,0,0,,,GNT-C-54-Kolluru,GNT_C_54_KOLLURU,GNT-C-54-Kolluru
9,GNT-C-54-Nagaram,soft rock,6,8,,,145.23,145.23,0,0,145.23,0,0,0,0,122.5599999988,0,0,122.56,,,GNT-C-54-Nagaram,GNT_C_54_NAGARAM,GNT-C-54-Nagaram
10,GNT-C-54-Nizampatnam,soft rock,6,8,,,160.11,160.11,0,44.31,160.11,0,0,0,0,135.7499999991,0,0,135.75,,,GNT-C-54-Nizampatnam,GNT_C_54_NIZAMPATNAM,GNT-C-54-Nizampatnam
11,GNT-C-54-P.V.Palem,soft rock,1,10,,,74.3,74.3,0,0,74.3,0,0,0,0,0,0,0,0,,,GNT-C-54-P.V.Palem,GNT_C_54_PONNURU,GNT-C-54-Ponnuru
12,GNT-C-54-Ponnuru,soft rock,6,8,,,172.09,172.09,0,0,172.09,0,0,0,0,50.02000011,0,0,50.02000011,,,GNT-C-54-Ponnuru,GNT_C_54_P.V.PALEM,GNT-C-54-P.V.Palem
13,GNT-C-54-Repalle,soft rock,6,8,,,232.6,232.6,0,3.77,232.6,1.97,0,0,0,176.3745000182,0,0,176.37450002,,,GNT-C-54-Repalle,GNT_C_54_REPALLE,GNT-C-54-Repalle
14,GNT-C-54-Tenali,soft rock,1,16,,,126.31,126.31,0,0,126.31,0.00450012,0,0,0.00450012,0,0,0,0,,,GNT-C-54-Tenali,GNT_C_54_TENALI,GNT-C-54-Tenali
15,GNT-C-54-Tsunduru,soft rock,6,10,,,104.83,104.83,0,0,104.83,0,0,0,0,0,0,0,0,,,GNT-C-54-Tsunduru,GNT_C_54_TSUNDUR,GNT-C-54-Tsunduru
16,GNT-C-54-Vemuru,soft rock,1,16,,,112.18,112.18,0,0,112.18,0,0,0,0,0,0,0,0,,,GNT-C-54-Vemuru,GNT_C_54_VEMURU,GNT-C-54-Vemuru
17,GNT-C-55-Boddu-Velpuru,Hard rock,3,11,,,71.36,71.36,0,0,71.36,0,0,0,0,0,0,0,0,,,GNT-C-55-Boddu-Velpuru,GNT_C_55_BODDULA VAGU,GNT-C-55-Boddu-Velpuru
18,GNT-C-55-Isuka-2-Kondaveedu,Hard rock,3,10,,,112.91,108.41,4.5,12.47,112.91,0,0,0,0,15.409999999,0,0,15.41,,,GNT-C-55-Isuka-2-Kondaveedu,GNT_C_55_ISUKA VAGU - 2,GNT-C-55-Isuka-2-Kondaveedu
19,GNT-C-55-Konda-Vatticherukuru,Hard rock and soft rock,3,8,,,0.0001,0.0001,0,3.34,0,0.0001,0,2.19,0,0.0001,0,0,0,,,GNT-C-55-Konda-Vatticherukuru,GNT_C_55_KONDA VAGU,GNT-C-55-Konda-Vatticherukuru
20,GNT-C-55-Nakka-Muppalla,Hard rock and soft rock,3,8,,,484.18,483.68,0.5,2,484.18,0,0,0,0,337.0000000562,0,0,337.00000006,,,GNT-C-55-Nakka-Muppalla,GNT_C_55_NAKKA_MUPPALLA,GNT-C-55-Nakka-Muppalla
21,GNT-C-55-Nalanda-Narasaraopet,Hard rock,3,8,,,333.97,333.97,0,3.95,333.97,0,0,0,0,65.8500001377,0,0,65.85000014,,,GNT-C-55-Nalanda-Narasaraopet,GNT_C_55_NALANDA VAGU,GNT-C-55-Nalanda-Narasaraopet
22,GNT-C-55-Nallama-Pedanandipadu,Hard rock and soft rock,1,8,,,250.39,250.39,0,21.77,250.39,0,0,0,0,118.9800000485,0,0,118.98000005,,,GNT-C-55-Nallama-Pedanandipadu,GNT_C_55_NALLAMADA VAGU,GNT-C-55-Nallama-Pedanandipadu
23,GNT-C-55-Pedda-2-Mangalagiri,Hard rock,3,10,,,369.23,365.73,3.5,5,369.23,0,0,0,0,98.6100999967,0,0,98.6101,,,GNT-C-55-Pedda-2-Mangalagiri,GNT_C_55_PEDA VAGU - 2,GNT-C-55-Pedda-2-Mangalagiri
24,GNT-C-55-Rama-Prathipadu,Hard rock,3,8,,,46.14,41.64,4.5,2.5,46.14,0,0,0,0,31.3599999997,0,0,31.36,,,GNT-C-55-Rama-Prathipadu,GNT_C_55_RAMAVAGU,GNT-C-55-Rama-Prathipadu
